Name,EX,EW,CR(PE),CR(PEW),CR,EN,VU,LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
ANDREAEOPSIDA,0,0,0,0,0,1,1,0,0,0,1,3
ANTHOCEROTOPSIDA,0,0,0,0,0,2,0,0,0,0,0,2
BRYOPSIDA,4,0,0,0,24,36,33,0,22,35,17,171
CHAROPHYACEAE,0,0,0,0,0,0,0,0,0,11,3,14
CHLOROPHYCEAE,0,0,0,0,0,0,0,0,0,0,1,1
CYCADOPSIDA,0,5,0,4,56,97,72,0,50,55,2,337
FLORIDEOPHYCEAE,1,0,2,0,6,0,3,0,0,4,44,58
GINKGOOPSIDA,0,0,0,0,0,1,0,0,0,0,0,1
GNETOPSIDA,0,0,0,0,0,1,4,0,7,76,10,98
JUNGERMANNIOPSIDA,0,0,0,0,12,23,20,0,10,18,2,85
LILIOPSIDA,13,7,81,13,806,1432,1108,8,493,3916,997,8780
LYCOPODIOPSIDA,0,0,2,0,14,12,16,0,9,42,12,105
MAGNOLIOPSIDA,104,31,453,29,4214,8201,7790,132,2938,23274,3758,50442
MARCHANTIOPSIDA,0,0,0,0,2,3,2,0,1,1,4,13
PINOPSIDA,0,0,1,0,29,96,80,0,99,298,8,610
POLYPODIOPSIDA,2,1,8,0,68,89,89,0,38,273,82,642
POLYTRICHOPSIDA,0,0,0,0,0,0,0,0,1,0,0,1
SPHAGNOPSIDA,0,0,0,0,1,2,2,0,0,1,0,6
TAKAKIOPSIDA,0,0,0,0,0,0,1,0,0,0,0,1
ULVOPHYCEAE,0,0,0,0,0,0,0,0,0,0,1,1
Total,571,44,547,46,5232,9996,9221,140,3668,28004,4942,61371
